Textgame_name,Refactoredgame token,Previousgame token
make-ice-cubes.py,3494,8793
multimeter.py ,3033,6578
forge-key.py,3859,8084
take-photo.py,3988,8517
volume.py ,2039,5563
cooking.py ,3193,6622
balance-scale-heaviest.py,2036,5462
dishwasher.py ,4560,9015
sweep-floor.py,2746,6219
conductivity.py,2952,6437
wash-clothes.py,4310,8889
volume-container.py,2991,7063
sunburn.py ,2355,5625
plant-tree.py,3385,7226
scale-weigh.py ,1827,5294
thermometer.py,2220,5728
blood-type.py,2251,5613
mix-paint.py,2447,6441
boil-water.py,3474,8302
metal-detector.py,2791,6108
space-walk.py ,3521,6567
refrigerate-food.py,3906,9046
balance-scale-weigh.py,2158,5646
bath-tub-water-temperature.py,2632,6680
clean-energy.py,2057,4707
hang-painting.py,2479,6188
inclined-plane.py,2592,6211
lit-lightbulb.py,2727,6185
make-campfire.py,3379,8296
use-bandage.py,2498,7035
bird-life-cycle.py,1915,5359
volume-stone.py,2805,7008